artist_id,name,popularity_rating,genre,country_code
3eVa5w3URK5duf6eyVDbu9,ROSÉ,84,k-pop,SA
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,canadian contemporary r&b,SA
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,90,atl hip hop,SA
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,89,indie pop,SA
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,86,colombian pop,SA
67FB4n52MgexGQIG8s0yUH,Lola Young,74,uk pop,SA
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80,modern country pop,SA
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,87,corrido,SA
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91,corrido,SA
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,contemporary country,SA
246dkjvS1zLTtiykXe5h60,Post Malone,91,dfw rap,SA
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86,singer-songwriter pop,SA
